Intersection,All_Motorized_Vehicles_AADT_24Hour_Volume,Percent_Trucks,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date_Collected,X,Y,LAT,LONG,FID
EARL ARMSTRONG RD @ SPRATT RD,29934,0.0385,87,7,1.57474E+12,368396.7091,5015011.429,45.27218367,-75.68948708,202
EASTBOURNE AVE @ ST. LAURENT BLVD,3272,0.0629,98,10,1.57544E+12,371016.7052,5035092.618,45.4526258,-75.65340923,203
EASTMAN AVE @ MANOTICK MAIN ST,8071,0.0475,10,13,1.57068E+12,369246.7149,5009422.39,45.22181661,-75.67937969,204
BANKFIELD RD @ MANOTICK MAIN ST/RIDEAU VALLEY,18629,0.062,0,1,1.57604E+12,368431.6985,5010157.401,45.22850431,-75.68966254,205
BANTREE ST @ INNES RD,43058,0.0972,86,6,1.54882E+12,373705.7232,5030406.555,45.41020309,-75.61968948,206
BANTREE ST @ INNES RD,39307,0.0863,135,37,1.5699E+12,373705.7232,5030406.555,45.41020309,-75.61968948,207
BARNSDALE RD @ PRINCE OF WALES DR,11825,0.033,2,0,1.55133E+12,366646.6962,5011532.413,45.24103569,-75.71222108,208
BARNSDALE RD @ RIDEAU VALLEY DR,10161,0.0427,1,2,1.55133E+12,367265.7078,5011882.417,45.24413036,-75.70429315,209
BARNSDALE RD @ TWIN ELM RD N,2946,0.0506,0,0,1.5712E+12,360185.6395,5007832.366,45.20827996,-75.79492456,210
BARNSDALE RD E @ CEDARVIEW RD E,4447,0.0782,0,0,1.5471E+12,364036.6806,5010031.388,45.22775382,-75.7456422,211
BARNSDALE RD S @ TWIN ELM RD S,2865,0.0641,0,0,1.5712E+12,360231.6321,5007720.365,45.20726853,-75.79435157,212
BARRAN ST @ FALLOWFIELD RD,18918,0.0304,3,1,1.55116E+12,362292.6808,5016244.438,45.28380389,-75.76713077,213
BASELINE RD @ 115M E OF CLYDE AVE,31337,0.0201,105,34,1.56636E+12,364473.934,5024962.46,45.36206617,-75.73827784,214
BASELINE RD @ 207 E OF CLYDE AVE,35742,0.0206,848,67,1.56636E+12,364535.4807,5025000.976,45.36240748,-75.73748763,215
BASELINE RD @ CEDARVIEW RD,27974,0.0255,18,4,1.54753E+12,358967.6649,5021674.49,45.33292804,-75.80891864,216
BASELINE RD @ CENTREPOINTE DR E/HIGHGATE RD,41429,0.0171,368,4,1.54813E+12,362061.6866,5023465.505,45.34879786,-75.76924037,217
BASELINE RD @ CLYDE AVE,56866,0.0192,693,108,1.56636E+12,364358.7033,5024890.513,45.3614286,-75.73975727,218
BASELINE RD @ CORDOVA ST,36306,0.0226,111,1,1.54813E+12,363593.6882,5024409.526,45.35716531,-75.74957874,219
BASELINE RD @ FERGUSON ST,35531,0.0227,158,3,1.54813E+12,363440.6901,5024315.507,45.35633215,-75.75154254,220
BASELINE RD @ LEXINGTON ST,40675,0.0219,47,15,1.57414E+12,366391.7077,5026169.526,45.37276123,-75.71364976,221
BASELINE RD @ ST. HELEN'S PL,30500,0.0249,86,15,1.57172E+12,364105.6943,5024731.528,45.36001952,-75.74300562,222
BASELINE RD @ ZENA ST,40604,0.0252,66,10,1.57414E+12,365628.697,5025688.53,45.36849997,-75.72344956,223
BASSWOOD AVE @ CARLETON CATHCART ST,741,0.0487,41,20,1.55858E+12,351003.586,5013158.42,45.25686761,-75.91131341,224
BATHGATE DR @ DEN HAAG DR,6971,0.0442,258,55,1.55608E+12,373407.7196,5033925.575,45.44189473,-75.62300603,225
BAXTER RD @ IRIS ST,8425,0.037,112,115,1.56705E+12,361057.6848,5023610.509,45.35018386,-75.78203568,226
BAY ST @ GLADSTONE AVE,9852,0.0412,960,247,1.57474E+12,367462.7107,5030288.564,45.40972826,-75.69945436,227
BAY ST @ QUEEN ST,11330,0.0301,1767,68,1.55193E+12,366899.6969,5031212.583,45.4180925,-75.70653001,228
BAY ST @ WELLINGTON ST,46962,0.0539,1384,320,1.57535E+12,366814.698,5031351.567,45.41935057,-75.70759847,229
BAYSHORE DR @ RICHMOND RD,30931,0.0237,22,4,1.57362E+12,359372.6852,5023368.526,45.34813963,-75.80356483,230
BAYSHORE DR @ WOODRIDGE CRES N,11576,0.0378,441,11,1.57293E+12,359072.871,5023875.078,45.35272086,-75.80733507,231
BAYSHORE DR @ WOODRIDGE CRES S,17040,0.0315,604,17,1.57293E+12,359233.669,5023509.506,45.34941898,-75.80532326,232
BEARBROOK RD @ NORTHPARK DR S,7663,0.0254,120,78,1.56705E+12,377841.7438,5033230.568,45.43519232,-75.56643757,233
BEATRICE DR @ CLARIDGE DR,6503,0.0272,327,60,1.57068E+12,365145.6836,5016522.355,45.28606544,-75.73073246,234
METCALFE ST @ SLATER ST,24003,0.0451,15715,105,1.57535E+12,367731.6966,5031549.576,45.42105031,-75.69585725,235
RICHMOND RD @ NORTHSIDE RD E,34559,0.0228,288,57,1.5604E+12,358329.3019,5021226.531,45.32894626,-75.81711085,236
BEAUMONT RD @ KILBORN AVE,4831,0.036,123,129,1.57051E+12,371866.7357,5027917.535,45.38798656,-75.64351937,237
BEAUSEJOUR DR @ COUNTRY WALK DR,1994,0.0403,155,56,1.56031E+12,380402.7396,5035700.577,45.45714338,-75.53333,238
BEAUSEJOUR DR @ DES SAPINS GDN,1907,0.0352,117,49,1.56031E+12,380415.7472,5035612.578,45.45635023,-75.53317724,239
BEAUSOLEIL DR @ COBOURG ST,9406,0.0591,231,45,1.57552E+12,369035.7064,5032924.579,45.43330355,-75.67901695,240
BEAUSOLEIL DR @ MURRAY ST,2596,0.0107,416,210,1.56334E+12,368559.7041,5032916.578,45.43327513,-75.68510105,241
BEAVER RDG @ MEADOWLANDS DR,11329,0.0323,50,8,1.57362E+12,365690.6996,5024680.523,45.35942471,-75.7227823,242
BECKENHAM LANE @ CEDAR RD S,1128,0.0131,6,9,1.56403E+12,374526.7196,5034518.592,45.44711966,-75.60861985,243
BEECHWOOD AVE @ CHARLEVOIX ST/MACKAY ST,21350,0.0381,1864,88,1.55314E+12,369185.871,5033592.351,45.4392981,-75.67701059,244
BEECHWOOD AVE @ LANGEVIN AVE,20282,0.0472,338,89,1.57595E+12,369373.706,5033749.608,45.44069571,-75.67458927,245
BEECHWOOD AVE @ MARIER AVE/PUTMAN AVE,16023,0.0456,904,66,1.55314E+12,369605.7065,5033907.593,45.44209573,-75.67160324,246
BEECHWOOD AVE @ SPRINGFIELD RD,19953,0.0474,1666,96,1.55357E+12,369236.7014,5033653.589,45.43984441,-75.67635292,247
BEECHWOOD AVE @ ST. CHARLES ST,15148,0.0454,526,64,1.55314E+12,369415.7147,5033785.602,45.44101568,-75.67404763,248
BELCOURT BLVD @ INNES RD,33365,0.03,266,15,1.55366E+12,382121.5789,5035266.61,45.45305082,-75.5114241,249
BELFAST RD @ TRAINYARDS,15825,0.0617,224,2,1.54882E+12,371882.7209,5030913.574,45.41494214,-75.64290773,250
BELL ST @ CARLING AVE,24663,0.0231,365,149,1.56826E+12,367273.717,5029222.561,45.40015357,-75.70200367,251
BEN ST @ COTE ST,4094,0.0129,105,15,1.57544E+12,371535.7141,5033194.595,45.43549892,-75.64703177,252
BENLEA DR W @ WOODFIELD DR W,3155,0.0457,76,36,1.57068E+12,363814.6936,5021774.492,45.33343697,-75.74707254,253
BERRIGAN DR @ CLARIDGE DR,7928,0.026,1473,3,1.57552E+12,364655.9644,5015849.23,45.28005055,-75.73705588,254
BERTONA ST @ CRAIG HENRY DR,4851,0.0487,139,4,1.54753E+12,362580.6874,5021848.489,45.33420548,-75.76280641,255
BESSERER ST @ KING EDWARD AVE,15697,0.0216,2420,70,1.57008E+12,368550.7052,5032340.582,45.42809335,-75.68529062,256
BEVERLEY AVE @ SIMS AVE,419,0.0313,70,12,1.57492E+12,365435.7028,5029080.557,45.39903746,-75.72549647,257
BEVERLY ST @ JONATHAN PACK ST,2134,0.0222,47,47,1.56938E+12,349458.5851,5013476.421,45.25982886,-75.93096892,258
BILBERRY DR @ QUARRY RIDGE DR,1443,0.0429,11,0,1.55064E+12,380940.2166,5038113.299,45.47879273,-75.52608493,259
BILL LEATHEM DR @ LEIKIN DR S,8925,0.0294,143,82,1.56031E+12,366925.7039,5017439.454,45.29416233,-75.70792862,260
BILL LEATHEM DR @ LEIKIN DR S,9768,0.039,52,0,1.55116E+12,366925.7039,5017439.454,45.29416233,-75.70792862,261
BILLINGS BRIDGESC RAMP NB @ RIVERSIDE DR EB,20971,0.0192,11,6,1.57492E+12,369082.7135,5027762.53,45.38685292,-75.67908937,262
BIRCH AVE @ FARNHAM CRES,1356,0.1282,54,18,1.57172E+12,370294.7133,5035185.607,45.45353051,-75.66262663,263
BIRCHGROVE RD @ LARMOURS RD,68,0.1667,0,0,1.57423E+12,398000.8582,5034668.507,45.44573267,-75.30855723,264
BIRCHGROVE RD @ MAGLADRY RD,336,0.1366,2,0,1.57423E+12,398924.8844,5032399.498,45.4251956,-75.29718126,265
BLACKSTONE CRES @ SOUTHVALE CRES S,2016,0.0902,100,10,1.57051E+12,374511.7406,5028752.546,45.39524132,-75.6096272,266
BLACKWELL ST @ LEEDS AVE,3165,0.2066,16,3,1.57051E+12,374658.7339,5029476.536,45.40174077,-75.60764746,267
BLAIR PL @ OGILVIE RD,22246,0.0341,185,4,1.54761E+12,374799.7225,5033371.582,45.43677222,-75.60529338,268
BLAIR RD @ MEADOWBROOK RD,29056,0.0435,149,2,1.54761E+12,375194.7345,5032311.569,45.42719518,-75.60039668,269
BLAIR RD @ MEADOWBROOK RD,25370,0.0386,76,3,1.57249E+12,375194.7345,5032311.569,45.42719518,-75.60039668,270
BLAIR RD @ MOWAT ST,11761,0.0294,50,21,1.55608E+12,374199.715,5033985.591,45.44235655,-75.61287492,271
BLAIR RD @ MOWAT ST,11150,0.0237,89,86,1.56705E+12,374199.715,5033985.591,45.44235655,-75.61287492,272
BLAIR RD @ OGILVIE RD,42584,0.0303,1447,34,1.55608E+12,374507.7237,5033198.575,45.43524478,-75.60904963,273
BLAIR RD @ REGIONAL RD 174 N/OR174 IC112 RAMP61,44137,0.0518,865,3,1.54701E+12,374634.7313,5032991.575,45.43336963,-75.60745588,274
BLAIR ST @ DRAKE AVE,2717,0.0271,35,18,1.5699E+12,371044.5432,5030248.73,45.40903999,-75.653705,275
BLANCHFIELD RD @ CABIN RD,868,0.0839,0,0,1.57414E+12,377517.7415,5003830.36,45.17069576,-75.5748908,276
BLANCHFIELD RD @ SNAKE ISLAND RD,5438,0.0998,4,3,1.57414E+12,376781.744,5005553.366,45.18627447,-75.58400434,277
BLASDELL AVE @ ST. LAURENT BLVD,2671,0.084,92,25,1.57172E+12,370980.7095,5035179.606,45.45341189,-75.65385769,278
BLOHM DR @ 68 N OF BRISTON PRIV/ROBERT BATEMAN,3167,0.0644,125,3,1.57604E+12,373822.7402,5025764.524,45.36842467,-75.61884396,279
BLOHM DR @ JOHNSTON RD,3640,0.0779,167,7,1.55547E+12,374576.7456,5026455.524,45.37456733,-75.60912175,280
BLOHM DR @ KARSH DR E,2274,0.1132,97,11,1.55547E+12,374298.7443,5026050.535,45.37095104,-75.6127277,281
BLOHM DR @ WINNEGREEN CRT E/FOREST GLADE CRES,3421,0.0637,61,7,1.57068E+12,375062.7366,5026431.532,45.37430289,-75.60292101,282
BLOHM DR @ WOODBURY CRES W/TED GRANT PRIV,2947,0.0573,244,15,1.55547E+12,373975.2205,5025768.628,45.36844657,-75.61689703,283
BOOTH ST @ CARLING AVE,31445,0.0225,1189,428,1.56826E+12,367094.7119,5029106.56,45.39912578,-75.70430459,284
BOOTH ST @ DANIEL MCCANN ST,12651,0.0144,499,285,1.56826E+12,366949.6982,5029436.562,45.40210793,-75.7061151,285
BOOTH ST @ MIDDLE ST,15681,0.0689,557,214,1.57466E+12,366114.6962,5031292.581,45.41888153,-75.71654934,286
BOOTH ST @ ORANGEVILLE ST,16376,0.0147,926,321,1.56826E+12,366891.6961,5029571.565,45.4033278,-75.70683893,287
BOREALIS CRES @ DEN HAAG DR S,2100,0.0616,80,31,1.55608E+12,372727.8107,5033654.079,45.43951834,-75.63173358,288
BOTELER ST @ DALHOUSIE ST/MACDONALDCARTIER BR,16370,0.0215,360,31,1.57431E+12,367696.4021,5033069.983,45.43473359,-75.69611403,289
BOTTRIELL WAY N @ CHARLEMAGNE BLVD,11022,0.026,138,1,1.54753E+12,383695.749,5037954.574,45.47705873,-75.49086961,290
BOUNDARY RD @ CARTWRIGHT RD,5919,0.0482,0,0,1.57423E+12,390896.8367,5014589.418,45.26599211,-75.40285161,291
BOUNDARY RD @ COOPER HILL RD,5852,0.0493,0,0,1.57423E+12,389488.8404,5018416.458,45.3005956,-75.42013765,292
BOUNDARY RD @ MITCH OWENS RD,10235,0.0584,0,1,1.55116E+12,388065.8321,5022162.47,45.33446923,-75.43764952,293
BOUNDARY RD @ NINTH LINE RD,10994,0.0739,1,0,1.57423E+12,387598.8206,5023364.486,45.34533921,-75.44340573,294
BOUNDARY RD @ RUSSELL RD E,7886,0.057,10,2,1.55116E+12,386579.8067,5026009.501,45.3692564,-75.45596959,295
BOWESVILLE RD @ RIDEAU RD,7542,0.1376,1,3,1.57466E+12,373361.7353,5015566.453,45.27671109,-75.62614041,296
BOYER RD @ MEADOWGLEN DR,2930,0.064,80,3,1.55366E+12,381131.7508,5035173.566,45.45232249,-75.52409189,297
BRIAN COBURN BLVD @ ESPRIT DR,12313,0.0408,158,1,1.55116E+12,385141.5803,5035343.552,45.4534024,-75.47280618,298
BRIAN COBURN BLVD @ PORTOBELLO BLVD,10792,0.0413,174,0,1.57552E+12,385751.3538,5035489.416,45.45464437,-75.46498729,299
BRIAN GOOD AVE @ HAWKESWOOD DR,2536,0.0484,73,3,1.5718E+12,368186.8559,5014526.805,45.26784202,-75.69222316,300
BRIAR HILL DR @ FEATHERSTON DR,2770,0.0266,115,49,1.57051E+12,371453.7259,5027364.542,45.38305036,-75.64886783,301
BRIDGE ST @ DICKINSON ST,19287,0.0743,51,0,1.57665E+12,368855.7033,5010077.403,45.22774606,-75.68427376,302
BRIDGE ST @ LONG ISLAND RD,19574,0.0676,37,0,1.57604E+12,369059.709,5010345.399,45.23013889,-75.68164149,303
BRIDGE ST/MAPLE AVE @ MANOTICK MAIN ST,24694,0.0557,31,0,1.57604E+12,368699.7029,5009932.389,45.2264554,-75.68627879,304
BRIDGESTONE DR @ EAGLESON RD,16098,0.0326,12,0,1.55073E+12,354872.691,5015403.907,45.27680833,-75.86179315,305
BRIDLEWOOD DR/BUDAPEST CRES S @ STEEPLE CHASE DR,4495,0.0186,186,8,1.55487E+12,355166.5126,5017224.973,45.29317368,-75.8578636,306
BRIERWOOD AVE @ BYRON AVE,4732,0.0132,112,182,1.57232E+12,362819.9619,5027933.788,45.38894066,-75.75903947,307
BRITANNIA RD @ HOWE ST,2983,0.0753,535,1356,1.56705E+12,359920.6705,5025320.514,45.36566074,-75.79635453,308
METCALFE ST @ SOMERSET ST,16956,0.0373,4877,326,1.55677E+12,368010.7043,5031104.573,45.41702117,-75.69234953,309
RICHMOND RD @ SEYTON DR,13066,0.0426,85,1,1.54761E+12,357398.6479,5019314.475,45.31181175,-75.82918572,310
METEOR AVE @ MUSTANG ST,555,0.0885,8,7,1.56334E+12,387855.8052,5031438.515,45.41795151,-75.43876862,311
MICHAEL COWPLAND DR @ TERENCE MATTHEWS CRES E,10442,0.0218,114,0,1.55073E+12,354231.6151,5016511.444,45.28681958,-75.86985323,312
RICHMOND RD @ WINONA AVE,10968,0.0315,725,151,1.56999E+12,363294.8501,5028338.171,45.39253973,-75.75292736,313
MICHAEL ST @ BELFAST RD,9434,0.1091,39,18,1.5699E+12,373132.7289,5030678.562,45.41270665,-75.62697125,314
RIDEAU FOREST DR @ RIVER RD,6044,0.0404,1,0,1.5712E+12,370596.709,5009053.394,45.21837162,-75.66224038,315
MICHAEL ST @ PARISIEN ST W,3615,0.0798,190,11,1.57232E+12,372671.7221,5031369.558,45.41896879,-75.63276529,316
RIDEAU TER @ SPRINGFIELD RD,4762,0.0458,707,55,1.57172E+12,369155.7029,5034086.601,45.44374794,-75.67733153,317
MICHELE DR @ PENNY DR,2132,0.0777,87,1,1.55375E+12,359558.6682,5024103.507,45.3547385,-75.80111018,318
RIDEAU VALLEY DR @ 36 S OF COMMODORE DR/KARS P,1256,0.0551,27,1,1.55366E+12,371772.47,5001778.61,45.1528028,-75.64824837,319
MILL HILL RD @ ROBERTSON RD,21072,0.026,18,8,1.55668E+12,356241.6562,5019959.467,45.31770119,-75.8438734,320
RIDEAU VALLEY DR @ OLD WELLINGTON ST,948,0.045,28,0,1.57371E+12,371858.7018,5001431.328,45.14966978,-75.64719841,321
MILTON RD @ NAVAN RD,9845,0.0788,0,0,1.55116E+12,387268.7888,5031812.521,45.42138589,-75.44620524,322
RIDEAU VALLEY DR E @ ROGER STEVENS DR E,7534,0.0539,0,0,1.55133E+12,372212.7032,5002825.333,45.16217929,-75.64250888,323
MILTON RD @ PERRAULT RD,4648,0.0666,0,0,1.57423E+12,388681.8166,5028182.501,45.38855857,-75.42877008,324
RIDGEWOOD AVE @ RIVERSIDE DR,34877,0.0195,81,3,1.55185E+12,368280.7047,5025609.532,45.36755398,-75.68960702,325
MILTON RD @ SMITH RD,4793,0.0745,1,0,1.57423E+12,387572.8054,5031062.519,45.41460219,-75.44244714,326
RIDGEWOOD AVE @ SPRINGLAND DR,4172,0.0576,205,9,1.57552E+12,368580.7126,5025642.536,45.3678237,-75.68577325,327
MILTON RD/SABOURIN RD @ RUSSELL RD,9436,0.0911,0,0,1.57405E+12,389748.8274,5025322.475,45.36269826,-75.415638,328
RIVER RD @ 290M N OF BALMORAL DR,11943,0.0158,0,6,1.5712E+12,368101.352,5019807.355,45.31536343,-75.69263879,329
MITCH OWENS RD @ STAGECOACH RD,18176,0.1001,4,1,1.5712E+12,375399.7547,5014484.458,45.26677396,-75.60032167,330
RIVER RD @ 700 N OF EARL ARMSTRONG RD,17777,0.0201,8,1,1.57673E+12,367844.9812,5015340.69,45.27519602,-75.69647611,331
RIVER RD @ RIDEAU RD,14684,0.0548,4,1,1.57595E+12,368048.7043,5012370.414,45.24845141,-75.69425801,332
RIVER RD @ TEWSLEY,23615,0.0374,231,2,1.57665E+12,367969.1411,5015644.859,45.27792175,-75.69485511,333
RIVERDALE AVE @ SUNNYSIDE AVE,9317,0.0233,441,23,1.57552E+12,369074.5849,5028787.111,45.39607252,-75.67905971,334
RIVERDALE AVE @ WINDSOR AVE,3640,0.043,65,17,1.57552E+12,369085.6279,5028402.341,45.39260947,-75.67896881,335
RIVERSIDE DR @ HERON RD,77595,0.0257,442,75,1.56947E+12,368121.1049,5026647.221,45.37690527,-75.69151123,336
RIVERSIDE DR @ TREMBLAY RD/HWY417 IC117 RAMP52,66075,0.0619,31,5,1.54882E+12,370802.0781,5031015.908,45.41596566,-75.6566995,337
RIVERSIDE DR RAMP 42A @ RIVERSIDE DR,35818,0.0224,42,8,1.57492E+12,368441.8803,5027266.803,45.38245103,-75.6873361,338
RIVERSTONE DR @ PONDHOLLOW WAY,903,0.0726,64,3,1.5712E+12,365795.9646,5013853.527,45.2619953,-75.72277153,339
ROCKY HILL DR @ PRINCE OF WALES DR,31762,0.0257,6,0,1.57595E+12,366968.7684,5014403.42,45.26684054,-75.70775992,340
ROGER GUINDON AVE @ SMYTH RD,26387,0.0324,277,4,1.54692E+12,371933.91,5029226.161,45.39975461,-75.64248355,341
ROGER STEVENS DR @ SECOND LINE RD,7314,0.0771,0,0,1.57371E+12,369956.686,5001501.315,45.15047757,-75.6713751,342
ROTHWELL CIRC @ ROTHWELL DR,1084,0.0121,8,33,1.56334E+12,374839.0174,5034487.519,45.44680886,-75.60463238,343
RUISSELLET RD @ RUSSELL RD,5070,0.0733,0,0,1.57405E+12,398927.8868,5028953.465,45.39419264,-75.29780087,344
RUSSELL AVE @ TEMPLETON ST,1993,0.0189,466,94,1.56334E+12,369360.7066,5031686.579,45.42213458,-75.67502591,345
RUSSELL RD @ SAUMURE RD/LANGLADE RD,6676,0.0701,6,0,1.57405E+12,399947.8987,5029464.485,45.39865222,-75.28467768,346
RUSSELL RD @ SOUTHVALE CRES S,13152,0.1,301,2,1.5477E+12,374457.7389,5028633.544,45.39417597,-75.61033364,347
RUSSLAND RD @ SAUMURE RD,4482,0.0427,0,1,1.57544E+12,401312.9295,5024763.441,45.35617224,-75.26816496,348
SAI CRES @ WINNEGREEN CRT W,2692,0.073,247,16,1.55547E+12,374879.7394,5026563.524,45.37550883,-75.60523841,349
SANFORD FLEMING AVE @ TERMINAL AVE,8176,0.1592,1025,9,1.55176E+12,370856.7208,5030831.556,45.41430178,-75.65602613,350
SAUNDERSON DR @ GOREN AVE,5761,0.0165,140,37,1.57051E+12,373235.7339,5028295.542,45.39125527,-75.62598609,351
SAUNDERSON DR @ HAMLET RD,4998,0.0197,156,18,1.57604E+12,372846.7267,5029243.553,45.39982297,-75.63082288,352
SAUNDERSON DR @ SMYTH RD,21668,0.0343,227,4,1.54692E+12,372793.7313,5029323.551,45.4005479,-75.6314887,353
SAUNDERSON DR @ WINGATE DR,4347,0.0226,148,65,1.57051E+12,373052.7285,5029060.546,45.39815629,-75.6282172,354
SAVILLE ROW @ SHERBOURNE RD,4901,0.0368,292,78,1.57189E+12,362188.6943,5026729.54,45.37815699,-75.76724059,355
SCOTT ST @ WINONA AVE,8453,0.0384,86,179,1.5712E+12,363163.6868,5028629.554,45.39517249,-75.75456791,356
SECOND AVE @ BRONSON AVE,38341,0.0203,201,34,1.55547E+12,367519.7066,5029162.555,45.39959166,-75.69886951,357
SEYTON DR @ SEYTON DR,2596,0.0915,85,4,1.57492E+12,357208.651,5019545.47,45.31390448,-75.83158423,358
SHEFFIELD RD @ WALKLEY RD,40553,0.1033,0,1,1.54882E+12,375257.7351,5028784.539,45.39545451,-75.60009581,359
SHERBOURNE RD @ WINDERMERE AVE,4541,0.0173,100,53,1.57189E+12,362647.6885,5026665.534,45.37754332,-75.76138798,360
SHERWOOD DR @ WOODSTOCK ST,1946,0.015,143,52,1.57466E+12,365856.697,5028852.555,45.39694937,-75.72014781,361
SHILLINGTON AVE @ SILVER ST,3043,0.0232,168,8,1.57362E+12,365076.2246,5026949.592,45.37989451,-75.73034797,362
SIXTH LINE RD @ BERRY SIDE RD,1399,0.055,0,0,1.55478E+12,348081.6272,5031349.576,45.42074239,-75.94694945,363
SMYTH RD @ BOTSFORD ST/DAUPHIN RD,24631,0.0356,523,11,1.54692E+12,372243.7334,5029261.545,45.4000432,-75.63852172,364
SMYTH RD @ GENERAL HOSPITAL E,26696,0.0274,597,25,1.57604E+12,371516.7175,5029181.552,45.39939311,-75.64781788,365
SMYTH RD/OTHELLO AVE @ RUSSELL RD W,23148,0.0384,584,84,1.57051E+12,373255.7361,5029373.546,45.40095271,-75.62558107,366
SNAKE ISLAND RD @ STAGECOACH RD,8840,0.0828,0,3,1.55185E+12,378062.7575,5006581.385,45.19539241,-75.56755406,367
SPRINGLAND DR N @ FLANNERY DR N,4248,0.0493,400,29,1.57474E+12,368893.7198,5025897.53,45.37008952,-75.68174472,368
ST. CHARLES ST @ ALICE ST,854,0.0211,157,103,1.56584E+12,369637.7099,5033567.591,45.43903356,-75.67123899,369
ST. JOSEPH BLVD @ OR174 IC101 RAMP25,10806,0.0243,18,2,1.57474E+12,383342.7457,5038945.59,45.48601478,-75.49522558,370
ST. JOSEPH BLVD @ OR174 IC101 RAMP25,22164,0.0298,0,11,1.55608E+12,383342.7457,5038945.59,45.48601478,-75.49522558,371
ST. JOSEPH BLVD @ REGIONAL RD 174/TRANSITWAY,30195,0.043,193,11,1.55608E+12,376556.2845,5035056.404,45.45175314,-75.58259893,372
ST. JOSEPH BLVD @ TAYLOR CREEK DR,9605,0.0253,11,6,1.56696E+12,384033.9389,5039174.361,45.48799493,-75.48634781,373
ST. JOSEPH BLVD/OLD MONTREAL RD @ TRIM RD,29604,0.0315,109,55,1.55798E+12,384682.754,5039285.582,45.48892163,-75.47803065,374
ST. JOSEPH BLVD/OLD MONTREAL RD @ TRIM RD,29314,0.0374,137,59,1.57059E+12,384682.754,5039285.582,45.48892163,-75.47803065,375
ST. LAURENT BLVD @ TRANSITWAY,36715,0.0877,22,3,1.54882E+12,372444,5031616,45.42120821,-75.63564086,376
ST. LAURENT BLVD @ TREMBLAY RD,36254,0.0824,108,1,1.54882E+12,372595.7139,5031241.576,45.41782463,-75.63375399,377
STAGECOACH RD @ EMPIRE GROVE ST/STANMORE ST,5165,0.0835,5,1,1.57431E+12,376436.7498,5012152.413,45.24568612,-75.5874447,378
STAGECOACH RD @ SUNCREST DR/JACK PINE CRES S,7295,0.0914,0,2,1.5712E+12,375964.748,5013222.436,45.25536175,-75.59330343,379
STANLEY AVE @ SUSSEX DR,19644,0.0184,535,1008,1.56342E+12,367832.0959,5033871.926,45.44193697,-75.69427719,380
STANLEY AVE @ UNION ST,3033,0.0119,756,171,1.5731E+12,368132.7052,5033743.608,45.44075524,-75.69045148,381
STEEPLE CHASE DR @ KOKANEE GT/SPRINGWATER DR S,3417,0.0446,127,0,1.57362E+12,354983.6309,5017630.452,45.29683534,-75.86015403,382
STEVENAGE DR @ SWANSEA CRES E,6553,0.2049,14,4,1.57068E+12,374904.7401,5027199.536,45.38122885,-75.60482895,383
STITTSVILLE MAIN ST/HUNTLEY RD @ FLEWELLYN RD,9125,0.0577,0,4,1.5566E+12,351416.5958,5010740.397,45.23508214,-75.90627818,384
STONEHAVEN DR @ FURLONG CRES E/PINE HILL DR,9073,0.0298,144,8,1.55487E+12,355714.5019,5016889.312,45.29011385,-75.85091204,385
SUNBURST ST @ FERNSIDE ST,539,0.1125,34,1,1.57483E+12,376013.909,5021332.721,45.32833014,-75.59151277,386
SUNNYSIDE AVE @ LEONARD AVE,5766,0.0262,445,19,1.57552E+12,368358.7173,5028353.557,45.39223688,-75.68825797,387
TENTH LINE RD @ WALL RD,6603,0.0841,0,0,1.57544E+12,385152.7816,5033307.546,45.43508301,-75.47299546,388
TERMINAL AVE @ TRAINYARDS DR,13448,0.052,204,5,1.54692E+12,371845.334,5030815.925,45.41406711,-75.64339864,389
TERON RD @ PARKWAY (THE)/PENFIELD DR S,12101,0.0405,146,33,1.55668E+12,352293.6231,5020788.487,45.32543905,-75.89414721,390
TORWOOD DR @ VANCES SIDE RD,1005,0.0473,8,0,1.55435E+12,343334.6206,5036430.637,45.46674032,-76.00720617,391
TRAIL SIDE CIRC @ VALIN ST,1794,0.0772,27,0,1.55064E+12,386986.2509,5037679.278,45.47420236,-75.4488349,392
TRAINYARDS DR @ RAILMARKET,14866,0.0227,116,1,1.54882E+12,371755.8619,5030717.262,45.41318795,-75.64455505,393
TREMBLAY RD @ TRAIN STATION,10071,0.0541,30,5,1.54882E+12,371168.45,5031284.46,45.41834732,-75.65198276,394
TRIM RD @ DAIRY DR/TAYLOR CREEK DR,23943,0.0481,288,60,1.55798E+12,384535.051,5039595.391,45.49172588,-75.47986964,395
TRIM RD @ DAIRY DR/TAYLOR CREEK DR,24097,0.0523,114,30,1.57059E+12,384535.051,5039595.391,45.49172588,-75.47986964,396
TRIM RD @ VALIN ST,14771,0.0443,75,1,1.54753E+12,386438.014,5037556.561,45.47316259,-75.45586608,397
TRIM RD @ WATTERS RD,26420,0.028,118,4,1.54753E+12,384964.6521,5038717.576,45.48377895,-75.47451754,398
ULLSWATER DR @ CARLING AVE,16135,0.0253,19,7,1.55668E+12,356488.6521,5023810.509,45.3523351,-75.84032101,399
UPPER DWYER HILL RD @ COUNTY RD 29 W,2663,0.0603,0,2,1.55426E+12,317873.396,5030522.617,45.4145177,-76.33296716,400
